compound,conc_um,replicate,viability
3-Fluoro-5-hydroxybenzonitrile,0.0,1,1.0
3-Fluoro-5-hydroxybenzonitrile,0.0,2,1.0
3-Fluoro-5-hydroxybenzonitrile,0.0,3,1.0
3-Fluoro-5-hydroxybenzonitrile,0.0,4,1.0
3-Fluoro-5-hydroxybenzonitrile,0.0,5,1.0
3-Fluoro-5-hydroxybenzonitrile,0.0,6,1.0
3-Fluoro-5-hydroxybenzonitrile,5.0,1,0.979931
3-Fluoro-5-hydroxybenzonitrile,5.0,2,1.004918032786885
3-Fluoro-5-hydroxybenzonitrile,5.0,3,1.0375369891911363
3-Fluoro-5-hydroxybenzonitrile,5.0,4,1.008251
3-Fluoro-5-hydroxybenzonitrile,5.0,5,1.032295
3-Fluoro-5-hydroxybenzonitrile,5.0,6,0.978021978021978
3-Fluoro-5-hydroxybenzonitrile,10.0,1,0.932913
3-Fluoro-5-hydroxybenzonitrile,10.0,2,0.8763934426229508
3-Fluoro-5-hydroxybenzonitrile,10.0,3,0.8507170382132864
3-Fluoro-5-hydroxybenzonitrile,10.0,4,0.844334
3-Fluoro-5-hydroxybenzonitrile,10.0,5,0.944637
3-Fluoro-5-hydroxybenzonitrile,10.0,6,0.9947735191637629
3-Fluoro-5-hydroxybenzonitrile,50.0,1,0.90711
3-Fluoro-5-hydroxybenzonitrile,50.0,2,0.9501639344262293
3-Fluoro-5-hydroxybenzonitrile,50.0,3,0.9364245464100076
3-Fluoro-5-hydroxybenzonitrile,50.0,4,0.833883
3-Fluoro-5-hydroxybenzonitrile,50.0,5,1.040369
3-Fluoro-5-hydroxybenzonitrile,50.0,6,0.8947735191637629
3-Fluoro-5-hydroxybenzonitrile,100.0,1,0.854931
3-Fluoro-5-hydroxybenzonitrile,100.0,2,1.0180327868852457
3-Fluoro-5-hydroxybenzonitrile,100.0,3,0.9758252584109219
3-Fluoro-5-hydroxybenzonitrile,100.0,4,0.891639
3-Fluoro-5-hydroxybenzonitrile,100.0,5,1.114187
3-Fluoro-5-hydroxybenzonitrile,100.0,6,0.8668989547038328
3-Fluoro-5-hydroxybenzonitrile,500.0,1,0.451261
3-Fluoro-5-hydroxybenzonitrile,500.0,2,0.524590163934426
3-Fluoro-5-hydroxybenzonitrile,500.0,3,0.48313786742445863
3-Fluoro-5-hydroxybenzonitrile,500.0,4,0.458196
3-Fluoro-5-hydroxybenzonitrile,500.0,5,0.577278
3-Fluoro-5-hydroxybenzonitrile,500.0,6,0.479006968641115
3-Fluoro-5-hydroxybenzonitrile,1000.0,1,0.142202
3-Fluoro-5-hydroxybenzonitrile,1000.0,2,0.206065573770492
3-Fluoro-5-hydroxybenzonitrile,1000.0,3,0.13689899649663942
3-Fluoro-5-hydroxybenzonitrile,1000.0,4,0.174367
3-Fluoro-5-hydroxybenzonitrile,1000.0,5,0.212226
3-Fluoro-5-hydroxybenzonitrile,1000.0,6,0.1858304297328687
3-Fluoro-5-hydroxybenzonitrile,1500.0,1,0.045298
3-Fluoro-5-hydroxybenzonitrile,1500.0,2,0.08051001821493624
3-Fluoro-5-hydroxybenzonitrile,1500.0,3,0.05117929414415376
3-Fluoro-5-hydroxybenzonitrile,1500.0,4,0.052255
3-Fluoro-5-hydroxybenzonitrile,1500.0,5,0.081892
3-Fluoro-5-hydroxybenzonitrile,1500.0,6,0.047755687640910024
3-Fluoro-5-hydroxybenzonitrile,2000.0,1,0.007454
3-Fluoro-5-hydroxybenzonitrile,2000.0,2,0.007360655737704918
3-Fluoro-5-hydroxybenzonitrile,2000.0,3,0.0058244487919118055
3-Fluoro-5-hydroxybenzonitrile,2000.0,4,0.005501
3-Fluoro-5-hydroxybenzonitrile,2000.0,5,0.00692
3-Fluoro-5-hydroxybenzonitrile,2000.0,6,0.006689895470383276
ent-Paroxol,0.0,1,1.0
ent-Paroxol,0.0,2,1.0
ent-Paroxol,0.0,3,1.0
ent-Paroxol,0.0,4,1.0
ent-Paroxol,0.0,5,1.0
ent-Paroxol,0.0,6,1.0
ent-Paroxol,5.0,1,0.9659863945578232
ent-Paroxol,5.0,2,0.9761966364812421
ent-Paroxol,5.0,3,1.0290789473684212
ent-Paroxol,5.0,4,0.832638164754953
ent-Paroxol,5.0,5,1.0936768149882903
ent-Paroxol,5.0,6,0.887025790451403
ent-Paroxol,10.0,1,0.9511440940012369
ent-Paroxol,10.0,2,0.9611901681759382
ent-Paroxol,10.0,3,0.8026973684210527
ent-Paroxol,10.0,4,0.7335766423357664
ent-Paroxol,10.0,5,0.8302107728337236
ent-Paroxol,10.0,6,0.7510439725737358
ent-Paroxol,50.0,1,0.9647495361781077
ent-Paroxol,50.0,2,0.8825355756791722
ent-Paroxol,50.0,3,0.8431052631578947
ent-Paroxol,50.0,4,0.7377476538060479
ent-Paroxol,50.0,5,0.8366510538641687
ent-Paroxol,50.0,6,0.8135074050112577
ent-Paroxol,100.0,1,0.9375386518243661
ent-Paroxol,100.0,2,0.9163001293661062
ent-Paroxol,100.0,3,0.6880263157894737
ent-Paroxol,100.0,4,0.7106360792492179
ent-Paroxol,100.0,5,0.7540983606557378
ent-Paroxol,100.0,6,0.7979466465737417
ent-Paroxol,500.0,1,0.492269635126778
ent-Paroxol,500.0,2,0.47060802069857705
ent-Paroxol,500.0,3,0.449921052631579
ent-Paroxol,500.0,4,0.4129301355578728
ent-Paroxol,500.0,5,0.43266978922716637
ent-Paroxol,500.0,6,0.41734048658166134
ent-Paroxol,1000.0,1,0.01607915893630179
ent-Paroxol,1000.0,2,0.0179080824088748
ent-Paroxol,1000.0,3,0.019846397659392903
ent-Paroxol,1000.0,4,0.016684045881126174
ent-Paroxol,1000.0,5,0.02810304449648713
ent-Paroxol,1000.0,6,0.02311176924564739
ent-Paroxol,1500.0,1,0.0018552875695732856
ent-Paroxol,1500.0,2,0.0016232737151913065
ent-Paroxol,1500.0,3,0.0014833597464342313
ent-Paroxol,1500.0,4,0.0026068821689259666
ent-Paroxol,1500.0,5,0.0029274004683840778
ent-Paroxol,1500.0,6,0.0042829367452577915
ent-Paroxol,2000.0,1,0.0043290043290043325
ent-Paroxol,2000.0,2,0.004215530903328051
ent-Paroxol,2000.0,3,0.002852614896988907
ent-Paroxol,2000.0,4,0.0020855057351407734
ent-Paroxol,2000.0,5,0.006440281030444971
